project,command,run,exitCode,wallMs,resolveMs,emitMs,totalMs,peakRssBytes
src/NSharpLang.Compiler.BootstrapServices,build,1,1,7668,,,,181010432
src/NSharpLang.Compiler.BootstrapServices,build,2,1,7868,,,,180174848
src/NSharpLang.Compiler.BootstrapServices,build,3,1,7850,,,,181862400
src/NSharpLang.Compiler.BootstrapServices,build,4,1,7954,,,,180584448
src/NSharpLang.Compiler.BootstrapServices,build,5,1,8079,,,,180109312
src/NSharpLang.Compiler.BootstrapServices,check,1,1,27319,,,,712916992
src/NSharpLang.Compiler.BootstrapServices,check,2,1,26890,,,,716587008
src/NSharpLang.Compiler.BootstrapServices,check,3,1,27036,,,,716701696
src/NSharpLang.Compiler.BootstrapServices,check,4,1,26517,,,,716603392
src/NSharpLang.Compiler.BootstrapServices,check,5,1,26997,,,,715833344
examples/01-hello-world,build,1,0,296,0,200,200,97959936
examples/01-hello-world,build,2,0,299,0,200,200,98058240
examples/01-hello-world,build,3,0,310,0,200,200,98172928
examples/01-hello-world,build,4,0,293,0,200,200,97812480
examples/01-hello-world,build,5,0,292,0,200,200,97845248
examples/01-hello-world,check,1,0,296,,,,101875712
examples/01-hello-world,check,2,0,293,,,,101498880
examples/01-hello-world,check,3,0,293,,,,101695488
examples/01-hello-world,check,4,0,296,,,,101498880
examples/01-hello-world,check,5,0,298,,,,101826560
examples/11-advanced-features/CheckedUnchecked,build,1,0,286,0,200,200,99926016
examples/11-advanced-features/CheckedUnchecked,build,2,0,288,0,200,200,100057088
examples/11-advanced-features/CheckedUnchecked,build,3,0,294,0,200,200,100335616
examples/11-advanced-features/CheckedUnchecked,build,4,0,287,0,200,200,100106240
examples/11-advanced-features/CheckedUnchecked,build,5,0,289,0,200,200,100089856
examples/11-advanced-features/CheckedUnchecked,check,1,0,304,,,,105775104
examples/11-advanced-features/CheckedUnchecked,check,2,0,293,,,,105398272
examples/11-advanced-features/CheckedUnchecked,check,3,0,295,,,,105332736
examples/11-advanced-features/CheckedUnchecked,check,4,0,295,,,,105283584
examples/11-advanced-features/CheckedUnchecked,check,5,0,293,,,,105807872
examples/11-advanced-features/ConversionOperators,build,1,0,317,0,200,200,103235584
examples/11-advanced-features/ConversionOperators,build,2,0,316,0,200,200,103055360
examples/11-advanced-features/ConversionOperators,build,3,0,335,0,200,200,103464960
examples/11-advanced-features/ConversionOperators,build,4,0,315,0,200,200,103153664
examples/11-advanced-features/ConversionOperators,build,5,0,317,0,200,200,103268352
examples/11-advanced-features/ConversionOperators,check,1,0,322,,,,106004480
examples/11-advanced-features/ConversionOperators,check,2,0,324,,,,106070016
examples/11-advanced-features/ConversionOperators,check,3,0,324,,,,105807872
examples/11-advanced-features/ConversionOperators,check,4,0,324,,,,106250240
examples/11-advanced-features/ConversionOperators,check,5,0,323,,,,105742336
examples/11-advanced-features/FileScopedSimple,build,1,0,324,0,300,300,100368384
examples/11-advanced-features/FileScopedSimple,build,2,0,322,0,300,300,99991552
examples/11-advanced-features/FileScopedSimple,build,3,0,321,0,300,300,100089856
examples/11-advanced-features/FileScopedSimple,build,4,0,322,0,300,300,100270080
examples/11-advanced-features/FileScopedSimple,build,5,0,321,0,300,300,99745792
examples/11-advanced-features/FileScopedSimple,check,1,0,325,,,,104022016
examples/11-advanced-features/FileScopedSimple,check,2,0,326,,,,104185856
examples/11-advanced-features/FileScopedSimple,check,3,0,328,,,,104054784
examples/11-advanced-features/FileScopedSimple,check,4,0,326,,,,104103936
examples/11-advanced-features/FileScopedSimple,check,5,0,325,,,,104103936
examples/11-advanced-features/FileScopedTypes,build,1,0,388,0,300,300,106381312
examples/11-advanced-features/FileScopedTypes,build,2,0,366,0,300,300,105725952
examples/11-advanced-features/FileScopedTypes,build,3,0,367,0,300,300,105512960
examples/11-advanced-features/FileScopedTypes,build,4,0,365,0,300,300,105775104
examples/11-advanced-features/FileScopedTypes,build,5,0,367,0,300,300,105512960
examples/11-advanced-features/FileScopedTypes,check,1,0,382,,,,117080064
examples/11-advanced-features/FileScopedTypes,check,2,0,380,,,,116834304
examples/11-advanced-features/FileScopedTypes,check,3,0,385,,,,117342208
examples/11-advanced-features/FileScopedTypes,check,4,0,382,,,,117047296
examples/11-advanced-features/FileScopedTypes,check,5,0,382,,,,117063680
examples/11-advanced-features/InterpolatedRawStrings,build,1,0,293,0,200,200,98254848
examples/11-advanced-features/InterpolatedRawStrings,build,2,0,292,0,200,200,98467840
